,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
465,Fershampenuaz,RU,53.5202,59.8117,34.88,71,14,7.58,few clouds
466,Walvis Bay,NA,-22.9575,14.5053,52.75,100,26,1.14,scattered clouds
467,Camopi,GF,3.1655,-52.3158,71.1,99,55,1.86,broken clouds
468,Samoylovka,RU,51.184,43.7081,50.88,77,100,10.83,overcast clouds
469,Puerto Leguizamo,CO,-0.1934,-74.7819,73.31,97,97,2.39,heavy intensity rain
470,Muros,ES,42.7762,-9.0603,53.83,88,95,6.78,overcast clouds
471,Grootfontein,NA,-19.5667,18.1167,60.37,94,98,2.3,overcast clouds
472,Gimli,CA,50.6336,-96.9907,21.22,53,56,1.14,broken clouds
473,Bereda,ES,43.2686,-7.5406,49.14,100,65,1.81,broken clouds
474,Codrington,AU,-38.2667,141.9667,79.77,30,100,22.48,overcast clouds
475,Ballina,AU,-28.8667,153.5667,73.58,71,100,8.61,overcast clouds
476,Dingle,PH,10.9995,122.6711,86.02,66,100,8.99,overcast clouds
477,Manbij,SY,36.5281,37.9549,53.8,48,19,1.12,few clouds
478,Isla Mujeres,MX,21.2311,-86.731,78.85,77,0,10.92,clear sky
479,Waingapu,ID,-9.6567,120.2641,85.77,73,50,9.13,scattered clouds
480,Saint-Paul,RE,-21.0096,55.2707,75.29,80,9,0.72,clear sky
481,Guadalupe Y Calvo,MX,26.1,-106.9667,53.47,21,100,2.95,overcast clouds
482,Koson,UZ,39.0375,65.585,68.32,37,62,7.45,broken clouds
483,Sao Paulo De Olivenca,BR,-3.3783,-68.8725,73.17,99,100,1.32,overcast clouds
484,Riyadh,SA,24.6877,46.7219,69.94,21,2,7.67,clear sky
485,Kochinda,IN,21.7333,84.35,94.77,14,3,7.25,clear sky
486,Kavaratti,IN,10.5669,72.642,83.98,73,30,6.62,scattered clouds
487,Koszalin,PL,54.1944,16.1722,44.67,70,100,5.12,overcast clouds
488,Grand Forks,US,47.9417,-97.4337,15.73,79,0,3.44,clear sky
489,Pudem,RU,58.3044,52.1675,26.82,86,100,3.85,overcast clouds
490,Bernau,DE,52.6798,13.5871,40.66,66,97,3.6,overcast clouds
491,Merrill,US,45.1805,-89.6835,29.97,74,0,0.0,clear sky
492,Maldonado,UY,-34.6667,-54.9167,57.22,92,0,4.29,clear sky
493,Shwebo,MM,22.5667,95.7,95.97,36,18,13.47,few clouds
494,Salinopolis,BR,-0.6136,-47.3561,77.68,89,100,7.16,overcast clouds
495,Jacareacanga,BR,-6.2222,-57.7528,73.65,99,99,0.81,overcast clouds
496,Osoyoos,CA,49.0331,-119.4524,50.41,25,100,0.0,overcast clouds
497,Marsh Harbour,BS,26.5412,-77.0636,75.85,77,0,9.26,clear sky
498,Lerwick,GB,60.1545,-1.1494,44.6,96,100,16.84,overcast clouds
499,Kaeng Khoi,TH,14.5862,100.9976,98.11,46,11,9.4,few clouds
500,Bilibino,RU,68.0546,166.4372,23.47,80,99,2.44,overcast clouds
501,Birao,CF,10.2849,22.7882,79.23,40,26,3.06,scattered clouds
502,Delta Del Tigre,UY,-34.7633,-56.3853,62.71,83,30,8.75,scattered clouds
503,Aripuana,BR,-9.1667,-60.6333,72.9,99,91,0.54,overcast clouds
504,Fuerte Olimpo,PY,-21.0415,-57.8738,70.29,66,100,4.79,overcast clouds
505,Jiayuguan,CN,39.8167,98.3,48.83,21,0,11.97,clear sky
506,Qasigiannguit,GL,68.8193,-51.1922,-9.0,91,9,6.08,clear sky
507,Beberibe,BR,-4.1797,-38.1306,77.65,87,42,4.34,scattered clouds
508,Gushikawa,JP,26.3544,127.8686,71.19,55,100,9.22,overcast clouds
509,Falam,MM,22.9167,93.6833,84.24,26,33,1.7,scattered clouds
510,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,59.59,86,5,4.21,clear sky
511,Lluta,PE,-16.0147,-72.0142,53.82,38,68,2.68,broken clouds
512,Nadym,RU,65.5333,72.5167,15.93,86,97,16.58,overcast clouds
513,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,72.88,91,56,2.33,broken clouds
514,Nuevo Progreso,MX,23.1667,-97.95,78.55,69,34,1.99,scattered clouds
515,Izumo,JP,35.3667,132.7667,66.09,42,0,5.75,clear sky
516,Bensonville,LR,6.4461,-10.6125,77.34,91,100,0.78,light rain
517,Villa Carlos Paz,AR,-31.4241,-64.4978,58.39,44,7,4.0,clear sky
518,Monzon,ES,41.9108,0.1941,52.75,66,0,3.58,clear sky
519,Kitovo,RU,56.8659,41.2825,29.77,72,93,11.95,overcast clouds
520,Talcahuano,CL,-36.7167,-73.1167,51.48,93,0,2.3,clear sky
521,Saint-Jean-De-Braye,FR,47.913,1.9771,45.91,83,0,6.91,clear sky
522,Macklin,CA,52.3334,-109.9348,25.72,70,100,7.52,overcast clouds
523,Tambovka,RU,50.0969,128.0489,45.77,34,59,17.43,broken clouds
524,Chapais,CA,49.7834,-74.8492,29.98,95,95,8.55,light snow
525,Loksa,EE,59.5764,25.7214,31.93,78,68,5.59,broken clouds
526,Sawakin,SD,19.1059,37.3321,76.44,58,1,5.84,clear sky
527,Makhalino,RU,53.0854,46.2211,47.19,84,100,8.55,overcast clouds
528,Mehnagar,IN,25.8833,83.1167,96.57,9,0,4.07,clear sky
529,Nishihara,JP,26.1842,127.7558,71.26,58,100,9.22,overcast clouds
530,Jinchang,CN,38.4953,102.1739,48.36,27,0,28.95,clear sky
531,Aanekoski,FI,62.6946,25.818,26.85,69,100,4.7,overcast clouds
532,Powell River,CA,49.8496,-124.5361,49.19,52,99,3.51,overcast clouds
533,Guiyang,CN,26.5833,106.7167,48.69,87,100,8.95,overcast clouds
534,Freeport,US,40.6576,-73.5832,47.01,82,100,16.11,overcast clouds
535,Kasama,ZM,-10.2129,31.1808,58.69,99,70,3.62,broken clouds
536,Sabang,ID,5.8933,95.3214,83.88,63,71,5.7,broken clouds
537,Kodinsk,RU,58.6881,99.1844,52.75,71,100,10.18,overcast clouds
538,Corowa,AU,-36.0333,146.3833,80.58,40,2,11.3,clear sky
539,Markova,UA,48.6758,24.4138,29.59,96,90,4.74,light snow
540,Kampong Cham,KH,11.9934,105.4635,87.93,58,99,8.19,overcast clouds
541,Charters Towers,AU,-20.1,146.2667,83.39,36,83,8.55,broken clouds
542,Kachug,RU,53.9606,105.8817,51.76,62,62,5.79,broken clouds
543,Ovsyanka,RU,55.9575,92.5519,65.37,62,77,9.04,broken clouds
544,San Pedro,PH,14.35,121.0167,85.35,75,75,6.91,broken clouds
545,Breznik,BG,42.7414,22.8981,45.48,90,100,7.87,overcast clouds
546,Kensington,AU,-33.9167,151.2167,78.71,66,75,10.36,broken clouds
547,Clyde River,CA,70.4692,-68.5914,-9.17,84,100,10.36,light snow
548,Chapleau,CA,47.8405,-83.4034,24.76,96,100,5.75,light snow
549,Hansot,IN,21.5833,72.8,86.07,46,0,5.1,clear sky
550,Awbari,LY,26.5921,12.7805,61.11,46,0,12.84,clear sky
551,Pacifica,US,37.6138,-122.4869,53.4,77,20,11.01,few clouds
552,Guatire,VE,10.4762,-66.5427,78.21,98,73,2.35,broken clouds
553,Yermakovskoye,RU,53.2831,92.4003,55.87,48,57,2.8,broken clouds
554,Souris,CA,49.6172,-100.2612,19.26,91,27,6.46,scattered clouds
555,Oktyabrskiy,RU,54.4815,53.471,35.74,79,100,5.39,overcast clouds
556,Labuhan,ID,-6.8844,112.2051,86.16,70,50,4.32,scattered clouds
557,Pisco,PE,-13.7,-76.2167,65.01,82,0,6.91,clear sky
558,Tevaitoa,PF,-16.7833,-151.5,81.81,71,11,12.91,few clouds
559,Nuremberg,DE,49.4478,11.0683,36.72,80,0,2.3,clear sky
560,Quang Ngai,VN,15.1167,108.8,83.41,72,94,6.58,overcast clouds
561,Northam,GB,51.0333,-4.2167,53.38,73,100,7.7,overcast clouds
562,Senneterre,CA,48.3835,-77.2328,22.82,94,88,3.22,light snow
563,Surt,LY,31.2089,16.5887,61.68,84,96,19.95,overcast clouds
564,Altay,CN,47.8667,88.1167,53.29,31,0,2.51,clear sky
565,Ambilobe,MG,-13.2,49.05,68.5,89,6,3.56,clear sky
566,The Pas,CA,53.8251,-101.2541,24.82,39,75,2.3,broken clouds
567,Doka,SD,13.5167,35.7667,81.54,55,100,10.76,overcast clouds
568,San Andres,CO,12.5847,-81.7006,80.62,78,20,8.05,few clouds
569,Kidal,ML,18.4411,1.4078,74.37,19,100,13.91,overcast clouds
570,Flinders,AU,-34.5833,150.8552,78.19,56,1,8.99,clear sky
571,Shujaabad,PK,29.8797,71.2931,87.85,10,13,4.63,few clouds
572,Manacapuru,BR,-3.2997,-60.6206,75.45,92,100,2.62,overcast clouds
573,Sampit,ID,-2.5333,112.95,89.51,55,92,1.48,overcast clouds
574,Gat,IL,31.61,34.7642,69.4,24,39,6.64,scattered clouds
575,Maua,BR,-23.6678,-46.4614,62.37,94,84,4.21,broken clouds
576,Churachandpur,IN,24.3333,93.6667,81.3,48,5,3.62,clear sky
577,Baoning,CN,25.3378,110.026,55.26,88,100,2.24,mist
578,Kijang,KR,35.2442,129.2139,69.53,27,0,4.85,clear sky
579,Carutapera,BR,-1.195,-46.02,76.26,94,100,3.56,light rain
580,Kardasova Recice,CZ,49.1848,14.8532,35.55,81,12,3.31,few clouds
581,Bairiki,KI,1.3292,172.9752,86.0,74,40,11.5,scattered clouds
582,Rio Grande,BR,-32.035,-52.0986,55.94,73,86,9.31,overcast clouds
583,Westport,US,41.1415,-73.3579,46.44,91,100,11.5,moderate rain
584,Strezhevoy,RU,60.7333,77.5889,29.71,78,100,12.3,overcast clouds
585,Vallenar,CL,-28.5708,-70.7581,60.49,64,0,0.27,clear sky
586,Miles City,US,46.4083,-105.8406,32.97,69,20,20.71,few clouds
587,Plouzane,FR,48.3833,-4.6167,50.32,84,0,5.75,clear sky
588,Natchez,US,31.5604,-91.4032,69.24,83,100,14.97,overcast clouds
589,Yarmouth,US,41.7057,-70.2286,50.09,88,100,18.99,light rain
590,Tiarei,PF,-17.5333,-149.3333,84.22,75,8,10.83,light rain
591,Salmas,IR,38.1973,44.7653,42.89,63,0,1.88,clear sky
592,Le Port,RE,-20.9373,55.2919,75.16,72,9,4.16,clear sky
593,Ulladulla,AU,-35.35,150.4667,76.1,50,2,10.98,clear sky
594,Khani,GE,41.9563,42.9566,45.97,73,2,7.11,clear sky
595,Yantal,RU,56.8471,105.2542,46.6,88,100,9.13,overcast clouds
596,Fochville,ZA,-26.4886,27.4939,54.77,91,100,7.9,light rain
597,Kirakira,SB,-10.4544,161.9205,85.42,63,94,5.82,overcast clouds
598,Da Lat,VN,11.9465,108.4419,75.99,55,51,2.82,broken clouds
599,Scaesti,RO,44.4667,23.5833,49.32,81,100,13.35,light rain
600,Malamig,PH,12.95,121.3667,81.09,80,72,3.29,broken clouds
601,Watertown,US,42.3709,-71.1828,46.42,89,100,6.91,heavy intensity rain
602,Fare,PF,-16.7,-151.0167,81.91,70,4,11.83,clear sky
603,Mwene-Ditu,CD,-7.0,23.45,65.37,97,98,2.39,overcast clouds
604,Benghazi,LY,32.1167,20.0667,61.75,86,100,11.72,overcast clouds
605,Belaya Gora,RU,68.5333,146.4167,19.45,82,100,4.72,overcast clouds
606,Alofi,NU,-19.0595,-169.9187,85.89,70,64,6.91,broken clouds
607,Mananjary,MG,-21.2167,48.3333,72.01,90,29,2.71,scattered clouds
608,Mahajanga,MG,-15.7167,46.3167,69.82,88,20,5.75,few clouds
609,Beawar,IN,26.1,74.3167,84.87,35,1,10.18,clear sky
610,Ruthen,DE,51.4909,8.436,34.68,69,0,4.61,clear sky
611,Vani,GE,42.0832,42.5216,53.29,58,0,11.5,clear sky
612,Toamasina,MG,-18.1667,49.3833,73.4,94,40,6.91,light rain
613,Port Moresby,PG,-9.4431,147.1797,90.82,58,40,13.8,scattered clouds
614,Pitimbu,BR,-7.4706,-34.8086,79.39,84,70,8.1,broken clouds
615,Rolla,US,37.9514,-91.7713,51.94,53,20,9.22,few clouds
616,Yuxia,CN,34.0615,108.6291,56.01,60,96,8.61,overcast clouds
617,Solnechnyy,RU,50.7214,136.6319,31.86,86,100,9.19,snow
618,Virginia Beach,US,36.8529,-75.978,68.05,74,100,3.0,overcast clouds
619,Camapua,BR,-19.5314,-54.0439,62.02,60,0,6.13,clear sky
620,Hambantota,LK,6.1241,81.1185,84.54,94,40,5.75,scattered clouds
621,Kolyvan,RU,55.3053,82.7391,58.62,59,100,7.11,overcast clouds
622,Hirado,JP,33.3597,129.5531,59.86,53,1,6.31,clear sky
623,Canutama,BR,-6.5339,-64.3831,73.85,99,100,1.12,overcast clouds
624,Samana,DO,19.2056,-69.3369,74.39,85,40,8.39,scattered clouds
625,Tonekabon,IR,36.8163,50.8738,53.55,68,74,1.5,broken clouds
626,Neuquen,AR,-38.9516,-68.0591,58.89,72,0,5.75,clear sky
627,Ndola,ZM,-12.9587,28.6366,59.76,96,100,5.23,overcast clouds
628,Cabatuan,PH,10.8794,122.486,86.81,63,95,9.55,overcast clouds
629,Nurota,UZ,40.5614,65.6886,66.51,43,93,11.34,overcast clouds
630,Smidovich,RU,48.6,133.8167,44.17,51,100,8.48,overcast clouds
631,Ures,MX,29.4333,-110.4,75.42,12,87,7.23,overcast clouds
632,Burewala,PK,30.1667,72.65,91.92,11,44,12.53,scattered clouds
633,Tashara,RU,55.5195,83.5094,50.43,64,100,9.28,overcast clouds
634,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,41.59,31,0,13.42,clear sky
635,Alexandria,EG,31.2156,29.9553,64.53,45,14,13.24,few clouds
636,Atar,MR,20.5169,-13.0499,75.97,15,0,3.8,clear sky
637,Severo-Yeniseyskiy,RU,60.3725,93.0408,40.23,91,100,13.11,overcast clouds
638,Kisangani,CD,0.5167,25.2,68.5,95,100,2.84,overcast clouds
639,Guamuchil,MX,25.4667,-108.1,76.86,25,83,3.96,broken clouds
640,Joshimath,IN,30.5667,79.5667,67.93,30,1,0.83,clear sky
641,Bandar,ID,2.05,99.75,82.0,86,82,1.36,broken clouds
642,Little Current,CA,45.9793,-81.9248,33.85,82,100,11.54,overcast clouds
643,Nizhniy Ufaley,RU,55.9153,59.9842,30.72,78,87,3.4,overcast clouds
644,Mombetsu,JP,44.3525,143.3525,59.02,33,40,18.41,scattered clouds
645,Sewon,ID,-7.8764,110.3589,87.22,66,89,3.22,overcast clouds
646,Tahe,CN,52.3333,124.7333,38.19,41,16,9.1,few clouds
647,Chifeng,CN,42.2683,118.9636,60.66,13,100,10.13,overcast clouds
648,Shache,CN,38.4167,77.2406,60.71,19,0,7.99,clear sky
649,Shrewsbury,GB,52.7101,-2.7521,53.29,85,95,4.61,overcast clouds
650,Nehe,CN,48.4833,124.8333,45.41,27,3,12.03,clear sky
651,Veinticinco De Mayo,AR,-35.4323,-60.1727,56.98,84,95,3.71,overcast clouds
652,Urusha,RU,54.05,122.9,37.78,33,57,6.49,broken clouds
653,Pemberton,CA,50.3164,-122.8027,39.87,79,100,4.03,overcast clouds
654,Lodja,CD,-3.4833,23.4333,68.54,99,100,1.16,overcast clouds
655,Bandar-E Lengeh,IR,26.5579,54.8807,78.91,53,2,0.0,clear sky
656,Nuuk,GL,64.1835,-51.7216,25.41,68,20,8.05,few clouds
657,Progreso,MX,21.2833,-89.6667,82.51,82,3,17.43,clear sky
658,Waipawa,NZ,-41.4122,175.5153,55.27,61,19,8.46,few clouds
659,Darab,IR,28.7519,54.5444,69.93,38,23,3.24,few clouds
660,Deloraine,AU,-41.5333,146.6667,72.39,68,100,5.01,overcast clouds
661,Moerai,PF,-22.4333,-151.3333,80.29,68,5,3.91,clear sky
662,Bajil,YE,15.0584,43.2851,80.22,61,24,3.02,few clouds
663,Alekseyevsk,RU,57.8406,108.3492,40.98,94,100,11.63,overcast clouds
664,Udachnyy,RU,66.4167,112.4,30.45,86,100,21.09,snow
665,Yanam,IN,16.7333,82.2167,90.55,58,23,4.56,few clouds
666,Contamana,PE,-7.3333,-75.0167,74.3,85,22,1.68,few clouds
667,Alta Floresta,BR,-9.8756,-56.0861,72.45,97,100,1.5,overcast clouds
668,Seoni,IN,22.0833,79.5333,92.43,13,2,7.38,clear sky
669,Elko,US,41.0002,-115.5012,48.22,53,36,18.52,scattered clouds
670,Parsabad,IR,39.6482,47.9174,41.32,93,0,6.91,clear sky
671,Sumoto,JP,34.35,134.9,62.6,45,27,6.42,scattered clouds
672,Abu Zabad,SD,12.35,29.25,80.94,52,97,6.06,overcast clouds
673,Pangkalanbuun,ID,-2.6833,111.6167,87.53,56,100,2.46,overcast clouds
674,Aleksandrovsk-Sakhalinskiy,RU,50.8975,142.1561,38.37,66,100,7.94,overcast clouds
675,Ndele,CF,8.4109,20.6473,76.53,58,8,4.43,clear sky
676,Marsa Matruh,EG,31.3525,27.2453,71.29,35,100,19.37,overcast clouds
677,Kaeo,NZ,-35.1,173.7833,61.77,88,100,19.64,moderate rain
678,Never,FR,46.9896,3.159,42.55,85,0,5.03,clear sky
679,Krasnoyarka,RU,55.3333,73.1167,48.15,58,72,10.33,broken clouds
680,Kapuskasing,CA,49.4169,-82.4331,24.89,86,100,12.66,overcast clouds
681,Lake Havasu City,US,34.4839,-114.3224,80.6,14,75,11.5,broken clouds
682,Luganville,VU,-15.5333,167.1667,83.89,73,73,3.87,broken clouds
683,Raudeberg,NO,61.9875,5.1352,43.86,71,100,9.78,overcast clouds
684,San Rafael,AR,-34.6177,-68.3301,60.91,43,5,3.67,clear sky
685,Jega,NG,12.2175,4.3792,85.21,43,54,5.21,broken clouds
686,Benidorm,ES,38.5382,-0.131,65.32,74,0,1.99,clear sky
687,Buala,SB,-8.145,159.5921,83.28,71,93,2.8,light rain
688,Turka,UA,49.1541,23.0297,29.8,95,95,6.91,overcast clouds
689,Eyrarbakki,IS,63.863,-21.1481,43.21,92,53,12.03,broken clouds
690,Morada Nova,BR,-5.1067,-38.3725,74.25,95,48,3.67,scattered clouds
691,Pandan,PH,14.0453,124.1694,82.47,75,82,9.37,broken clouds
692,Sorong,ID,-0.8833,131.25,83.93,72,85,2.73,overcast clouds
693,Bumbuna,SL,9.05,-11.7333,72.93,69,18,2.68,few clouds
694,Zyryanka,RU,65.75,150.85,19.87,77,100,2.86,overcast clouds
695,Guangyuan,CN,32.442,105.823,58.5,60,100,5.06,overcast clouds
696,Dunedin,NZ,-45.8742,170.5036,54.81,71,98,11.99,overcast clouds
697,Azovo,RU,54.6997,73.0237,47.95,54,99,8.7,overcast clouds
